,Title,Author,Description,Pages,Publication year,Publisher,Cover,Category,Subcategory,Price
39, ما قرأت في الصحن الحيدري لشعراء المنبر الحسيني, محمد العوادي, مجموعة من القصائد لعدد من الشعراء الحسينين من مختلف المخافظات العراقية وعلى مختلف الاوزان الشعرية الشعبية منها والفصحى قرأها المؤلف في مناسبات مخت لفة في مدينة النجف الأشرف . عرضلفة في مدينة النجف الأشرف .,512,2009, مؤسسة البلاغ للطباعة والنشر والتوزيع, غلاف كرتوني,الأدب والخيال,الأدب الإسلامي,45.0
40, فن الذكر والدعاء عند خاتم الأنبياء, محمد الغزالي, تتوه النفس فى إنبهار عندما تطمئن بين يدى النبى الخاتم محمد بن عبد الله وهو يدعو ويدع,192,2014, دار الشروق – مصر, غلاف ورقي,الأدب والخيال,الأدب الإسلامي,24.0
41, نحن والقران ومتغيرات عصر المعرفة, محمد عدنان سالم," كتاب هام يسعى الكاتب من خلاله لتقديم مشروع جديد لعلاقة المسلم بقرآنه؛ تجعله حيا فاعلا يمشي على الأرض بما ينفع الناس، ويجعل المسلم متفاعلا معه في ص لاته، خاشعا لخالقه؛ يقرأ كتابه كأنه ينزل عليه!! ويدعو إلى فتح باب الاجتهاد في التفسير المتجدد لكتاب الله تعالى، وعدم الوقوف عند التفاسير القديمة بذريعة قربها من عصر التنزيل، فكتاب الله تعالى "" لا تنقضي عجائبه "" كما وصفه رسول الله صلى الله عليه وسلم ، وهو متجدد "" ولود"" كما وصفه محمد إقبال؛ يعطي كل جيل من الأجيال بحسب طاقته واحتياجاته المعرفية. كتاب هام جدير بالقراءة. عرضلاته، خاشعا لخالقه؛ يقرأ كتابه كأنه ينزل عليه!! ويدعو إلى فتح باب الاجتهاد في التفسير المتجدد لكتاب الله تعالى، وعدم الوقوف عند التفاسير القديمة بذريعة قربها من عصر التنزيل، فكتاب الله تعالى "" لا تنقضي عجائبه "" كما وصفه رسول الله صلى الله عليه وسلم ، وهو متجدد "" ولود"" كما وصفه محمد إقبال؛ يعطي كل جيل من الأجيال بحسب طاقته واحتياجاته المعرفية. كتاب هام جدير بالقراءة.",118,2016, دار الفكر آفاق معرفة متجددة, غلاف ورقي,الأدب والخيال,الأدب الإسلامي,26.25
42, الجامع في تراجم أعلام الدمشقيين وولاتهم وقضاتهم 1/4, مطيع الحافظ, None,2620,2016, دار طيبة للنشر والتوزيع, غلاف فني,الأدب والخيال,الأدب الإسلامي,281.27
43, الإيمان مفتاح السعادة النفسية, محمد سالم," فى كتابه (الإيمان مفتاح السعادة النفسية) يؤكد الدكتور ""محمد عمر سالم"" أستاذ الطب النفسي في جامعة الامارات، أن الإيمان عنصر أساسي من عناصر الصحة ال نفسية، وعامل وقائي مهم ضد الإصابة بالمرض النفسي، وأن المؤمنين هم أقل عرضة للأمراض والمشاكل النفسية بكافة أنوا عرضنفسية، وعامل وقائي مهم ضد الإصابة بالمرض النفسي، وأن المؤمنين هم أقل عرضة للأمراض والمشاكل النفسية بكافة أنوا",364,2011, دار الكتاب الجامعي للطباعة والنشر والتوزيع, غلاف ورقي,الأدب والخيال,الأدب الإسلامي,37.5
45, أشكر حسادك, عائض القرني, None,214,2016, دار الحضارة للنشر والتوزيع, غلاف كرتوني,الأدب والخيال,الأدب الإسلامي,25.13
46, المرقاة, سليمان  العبودي, None,180,2017, دار الحضارة للنشر والتوزيع _ السعودية, غلاف ورقي,الأدب والخيال,الأدب الإسلامي,15.0
47, معين الخطباء في محاضرات ومجالس عاشوراء, حسين نجيب محمد, None,527,0, دار الكاتب العربي للطباعة والنشر, غلاف كرتوني,الأدب والخيال,الأدب الإسلامي,48.75
48, الدعوة الإسلامية فى القرن الحالى, محمد الغزالى, نظرة سريعة يلقيها الإمام محمد الغزالي على مسيرة الدعوة الإسلامية خلال ماضيها الطويل ويسجلها طي هذا الكتاب لتحتكم النفوس إلى مبادئ الإسلام الثابتة  وليتعرف المسلمون ما لهم وما عليهم بدقة. وبعبارة أخرى فإن هذه النظرة ما هي بحث موجز مقصود لبيان سبق المسلمين أ عرضوليتعرف المسلمون ما لهم وما عليهم بدقة. وبعبارة أخرى فإن هذه النظرة ما هي بحث موجز مقصود لبيان سبق المسلمين أ,192,2006, دار الشروق – مصر, غلاف ورقي,الأدب والخيال,الأدب الإسلامي,17.25
49, الطب الوقائي في السنة النبوية (1), محمد بن عبد الرزاق اسود, None,160,2017, دار طيبة للنشر والتوزيع, غلاف ورقي,الأدب والخيال,الأدب الإسلامي,18.75
