title_ar,description_ar,pages,published_year,author_name_ar,author_slug,genre,cover,isbn
نحن والقران ومتغيرات عصر المعرفة,"كتاب هام يسعى الكاتب من خلاله لتقديم مشروع جديد لعلاقة المسلم بقرآنه؛ تجعله حيا فاعلا يمشي على الأرض بما ينفع الناس، ويجعل المسلم متفاعلا معه في ص لاته، خاشعا لخالقه؛ يقرأ كتابه كأنه ينزل عليه!! ويدعو إلى فتح باب الاجتهاد في التفسير المتجدد لكتاب الله تعالى، وعدم الوقوف عند التفاسير القديمة بذريعة قربها من عصر التنزيل، فكتاب الله تعالى "" لا تنقضي عجائبه "" كما وصفه رسول الله صلى الله عليه وسلم ، وهو متجدد "" ولود"" كما وصفه محمد إقبال؛ يعطي كل جيل من الأجيال بحسب طاقته واحتياجاته المعرفية. كتاب هام جدير بالقراءة. عرضلاته، خاشعا لخالقه؛ يقرأ كتابه كأنه ينزل عليه!! ويدعو إلى فتح باب الاجتهاد في التفسير المتجدد لكتاب الله تعالى، وعدم الوقوف عند التفاسير القديمة بذريعة قربها من عصر التنزيل، فكتاب الله تعالى "" لا تنقضي عجائبه "" كما وصفه رسول الله صلى الله عليه وسلم ، وهو متجدد "" ولود"" كما وصفه محمد إقبال؛ يعطي كل جيل من الأجيال بحسب طاقته واحتياجاته المعرفية. كتاب هام جدير بالقراءة.",,,محمد عدنان سالم,محمد-عدنان-سالم,أدب قصصي / عام, غلاف ورقي,
الجامع في تراجم أعلام الدمشقيين وولاتهم وقضاتهم 1/4,None,,,مطيع الحافظ,مطيع-الحافظ,أدب قصصي / عام, غلاف فني,
الإيمان مفتاح السعادة النفسية,"فى كتابه (الإيمان مفتاح السعادة النفسية) يؤكد الدكتور ""محمد عمر سالم"" أستاذ الطب النفسي في جامعة الامارات، أن الإيمان عنصر أساسي من عناصر الصحة ال نفسية، وعامل وقائي مهم ضد الإصابة بالمرض النفسي، وأن المؤمنين هم أقل عرضة للأمراض والمشاكل النفسية بكافة أنوا عرضنفسية، وعامل وقائي مهم ضد الإصابة بالمرض النفسي، وأن المؤمنين هم أقل عرضة للأمراض والمشاكل النفسية بكافة أنوا",,,محمد سالم,محمد-سالم,أدب قصصي / عام, غلاف ورقي,
أشكر حسادك,None,,,عائض القرني,عائض-القرني,أدب قصصي / عام, غلاف كرتوني,
المرقاة,None,,,سليمان  العبودي,سليمان-العبودي,أدب قصصي / عام, غلاف ورقي,
معين الخطباء في محاضرات ومجالس عاشوراء,None,,,حسين نجيب محمد,حسين-نجيب-محمد,أدب قصصي / عام, غلاف كرتوني,
الدعوة الإسلامية فى القرن الحالى,نظرة سريعة يلقيها الإمام محمد الغزالي على مسيرة الدعوة الإسلامية خلال ماضيها الطويل ويسجلها طي هذا الكتاب لتحتكم النفوس إلى مبادئ الإسلام الثابتة  وليتعرف المسلمون ما لهم وما عليهم بدقة. وبعبارة أخرى فإن هذه النظرة ما هي بحث موجز مقصود لبيان سبق المسلمين أ عرضوليتعرف المسلمون ما لهم وما عليهم بدقة. وبعبارة أخرى فإن هذه النظرة ما هي بحث موجز مقصود لبيان سبق المسلمين أ,,,محمد الغزالى,محمد-الغزالى,أدب قصصي / عام, غلاف ورقي,
الطب الوقائي في السنة النبوية (1),None,,,محمد بن عبد الرزاق اسود,محمد-بن-عبد-الرزاق-اسود,أدب قصصي / عام, غلاف ورقي,
الفوائد العاجية,None,,,علي نور الدين,علي-نور-الدين,أدب قصصي / عام, غلاف فني,
أشهر آفات اللسان وبآخره فضيلتا الصدق وحفظ اللسان,كتاب في الأخلاق والأداب الإسلامية فعرف بالغيبة والنميمة والكذب والجدال والسخرية والاستهزاء والغش والسباب وشرحها وذكر امثلة عليها وذكر الأحاديث الت ى تنهي عنها وكذلك تناول موضوع الصدق وحفظ اللسان وغير ذلك عرضى تنهي عنها وكذلك تناول موضوع الصدق وحفظ اللسان وغير ذلك,,,سعيد السداوي,سعيد-السداوي,أدب قصصي / عام, غلاف كرتوني,
تحت عرش الرحمن، قصائد في الأخوة,الأخوة نفحة من نفحات الجنة، وضعها الله في الأرض..، ليتنسمها المتحابون في جلاله. وهذه القصائد..، كتبها أخ أبعدته الغربة عن إخوانه وأحبابه، فانطل ق يشدو..، هاربا من هجير الغربة، إلى ظلال الأخوة. عرضق يشدو..، هاربا من هجير الغربة، إلى ظلال الأخوة.,,,ياسر العيتي,ياسر-العيتي,أدب قصصي / عام, غلاف عادي,
في أروقة القيادة الأكاديمية,None,,,محمد  الشهري,محمد-الشهري,أدب قصصي / عام, غلاف كرتوني,
صوت الناعي في رثاء أهل البيت,None,,,جليل الكربلائي,جليل-الكربلائي,أدب قصصي / عام, غلاف كرتوني,
تدبر سورة الكهف,None,,,عقيل الشمري,عقيل-الشمري,أدب قصصي / عام, غلاف ورقي,
من ومن في حكم أمير المؤمنين عليه السلام,None,,,علي الأيوب الياروني,علي-الأيوب-الياروني,أدب قصصي / عام, غلاف كرتوني,
عن الفساد وسنينه,إزاء تعدد مظاهر الفساد التى تنشرها الصحف، وتلوكها الألسن طول الوقت، فقد بت مقتنعا بأنك إذا رفعت الغطاء عن أى مرفق فى الدولة، فسوف تفوح منه على الف ور رائحة الفساد، قوية ونفاذة. لا أستثنى من ذلك مرفقا فى قطاعات الإنتاج أو الخدمات. الأمر الذى يثير الكثير من عرضور رائحة الفساد، قوية ونفاذة. لا أستثنى من ذلك مرفقا فى قطاعات الإنتاج أو الخدمات. الأمر الذى يثير الكثير من,,,فهمى هويدى,فهمى-هويدى,أدب قصصي / عام, غلاف ورقي,
رعاية الحيوان في السنة النبوية (6),None,,,محمد بن عبد الرزاق اسود,محمد-بن-عبد-الرزاق-اسود,أدب قصصي / عام, غلاف ورقي,
أسامه عبدالرحمن شاعراً,دراسة نقدية تتناول شعر الشاعر الكبير أسامه عبدالرحمن بين هواجس وطنية وعواطف إنسانية، أسلوب أسامه عبدالرحمن الشعري بين التشكيل والرؤيا، عناصر البنا ء الفني في شعره. عرضء الفني في شعره.,,,نداء بنت محمد الحقباني,نداء-بنت-محمد-الحقباني,أدب قصصي / عام, غلاف ورقي,
قواعد تدبر القرآن وتطبيقات على قصار المفصل,None,,,عقيل   الشمري,عقيل-الشمري,أدب قصصي / عام, غلاف ورقي,
